Make,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),Fuel Type Factor,Aerodynamic Proxy,City_Hwy_Diff
NISSAN,ROGUE AWD,SUV - SMALL,2.5,4,AV,Petrol,9.5,7.4,8.6,33,198,1.0,7.4,2.0999999999999996
NISSAN,SENTRA,MID-SIZE,1.8,4,AV,Petrol,7.8,6.0,7.0,40,161,1.0,6.0,1.7999999999999998
NISSAN,TITAN,PICKUP TRUCK - STANDARD,5.6,8,A5,Petrol,17.9,12.8,15.6,18,359,1.0,12.8,5.099999999999998
NISSAN,TITAN 4WD,PICKUP TRUCK - STANDARD,5.6,8,A5,Petrol,19.7,14.3,17.3,16,398,1.0,14.3,5.399999999999999
NISSAN,VERSA,COMPACT,1.6,4,AV,Petrol,7.2,5.8,6.6,43,152,1.0,5.8,1.4000000000000004
NISSAN,XTERRA 4WD,SUV - SMALL,4.0,6,A5,Petrol,16.1,11.9,14.2,20,327,1.0,11.9,4.200000000000001
PORSCHE,CAYENNE,SUV - STANDARD,3.6,6,A8,Petrol,14.1,10.2,12.4,23,290,1.0,10.2,3.9000000000000004
PORSCHE,CAYENNE DIESEL (modified),SUV - STANDARD,3.0,6,A8,Diesel,11.8,8.1,10.2,28,277,0.9,8.1,3.700000000000001
PORSCHE,CAYENNE GTS,SUV - STANDARD,4.8,8,A8,Petrol,16.7,11.5,14.4,20,338,1.0,11.5,5.199999999999999
PORSCHE,CAYENNE S,SUV - STANDARD,4.8,8,A8,Petrol,15.5,10.7,13.2,21,310,1.0,10.7,4.800000000000001
PORSCHE,CAYENNE S HYBRID,SUV - STANDARD,3.0,6,A8,Petrol,11.8,9.9,10.9,26,251,1.0,9.9,1.9000000000000004
PORSCHE,CAYENNE TURBO,SUV - STANDARD,4.8,8,A8,Petrol,16.3,11.0,13.9,20,326,1.0,11.0,5.300000000000001
PORSCHE,CAYENNE TURBO S,SUV - STANDARD,4.8,8,A8,Petrol,18.0,11.9,15.2,19,358,1.0,11.9,6.1
RAM,1500 (MDS),PICKUP TRUCK - STANDARD,5.7,8,A6,Petrol,17.1,12.0,14.8,19,340,1.0,12.0,5.100000000000001
RAM,1500 (MDS),PICKUP TRUCK - STANDARD,5.7,8,A8,Petrol,15.8,10.9,13.6,21,313,1.0,10.9,4.9
RAM,1500 4X4 (MDS),PICKUP TRUCK - STANDARD,5.7,8,A6,Petrol,17.6,12.7,15.4,18,354,1.0,12.7,4.900000000000002
RAM,1500 4X4 (MDS),PICKUP TRUCK - STANDARD,5.7,8,A8,Petrol,16.3,11.5,14.1,20,324,1.0,11.5,4.800000000000001
RAM,1500 4X4 DIESEL,PICKUP TRUCK - STANDARD,3.0,6,A8,Diesel,12.1,8.8,10.6,27,286,0.9,8.8,3.299999999999999
RAM,1500 4X4 FFV,PICKUP TRUCK - STANDARD,3.6,6,A8,Petrol,14.6,10.1,12.6,22,290,1.0,10.1,4.5
RAM,1500 4X4 FFV,PICKUP TRUCK - STANDARD,3.6,6,A8,Electric,20.5,14.5,17.8,16,285,0.8,14.5,6.0
RAM,1500 DIESEL,PICKUP TRUCK - STANDARD,3.0,6,A8,Diesel,11.6,8.4,10.2,28,275,0.9,8.4,3.1999999999999993
RAM,1500 FFV,PICKUP TRUCK - STANDARD,3.6,6,A8,Petrol,13.9,9.5,11.9,24,274,1.0,9.5,4.4
RAM,1500 FFV,PICKUP TRUCK - STANDARD,3.6,6,A8,Electric,19.4,13.6,16.8,17,269,0.8,13.6,5.799999999999999
RAM,1500 HFE,PICKUP TRUCK - STANDARD,3.6,6,A8,Petrol,12.9,9.3,11.3,25,260,1.0,9.3,3.5999999999999996
RAM,CARGO VAN FFV,MINIVAN,3.6,6,A6,Petrol,13.3,9.1,11.4,25,262,1.0,9.1,4.200000000000001
RAM,CARGO VAN FFV,MINIVAN,3.6,6,A6,Electric,18.6,12.7,15.9,18,254,0.8,12.7,5.900000000000002
ROLLS-ROYCE,GHOST,FULL-SIZE,6.6,12,A8,Petrol,19.1,12.3,16.0,18,368,1.0,12.3,6.800000000000001
ROLLS-ROYCE,GHOST EWB,FULL-SIZE,6.6,12,A8,Petrol,19.1,12.3,16.0,18,368,1.0,12.3,6.800000000000001
ROLLS-ROYCE,PHANTOM,FULL-SIZE,6.7,12,A8,Petrol,20.7,12.8,17.1,17,393,1.0,12.8,7.899999999999999
ROLLS-ROYCE,PHANTOM COUPE,COMPACT,6.7,12,A8,Petrol,20.7,12.8,17.1,17,393,1.0,12.8,7.899999999999999
ROLLS-ROYCE,PHANTOM DROPHEAD COUPE,COMPACT,6.7,12,A8,Petrol,20.7,12.7,17.1,17,393,1.0,12.7,8.0
ROLLS-ROYCE,PHANTOM EWB,FULL-SIZE,6.7,12,A8,Petrol,20.7,12.7,17.1,17,393,1.0,12.7,8.0
ROLLS-ROYCE,WRAITH,MID-SIZE,6.6,12,A8,Petrol,18.7,11.8,15.6,18,359,1.0,11.8,6.899999999999999
SCION,FR-S,MINICOMPACT,2.0,4,AS6,Petrol,9.6,7.0,8.4,34,193,1.0,7.0,2.5999999999999996
SCION,iQ,MINICOMPACT,1.3,4,AV,Petrol,6.6,5.7,6.2,46,143,1.0,5.7,0.8999999999999995
SCION,tC,COMPACT,2.5,4,AS6,Petrol,10.2,7.5,9.0,31,207,1.0,7.5,2.6999999999999993
SCION,xB,STATION WAGON - SMALL,2.4,4,AS4,Petrol,10.9,8.6,9.9,29,228,1.0,8.6,2.3000000000000007
SCION,xD,SUBCOMPACT,1.8,4,A4,Petrol,8.8,7.1,8.0,35,184,1.0,7.1,1.700000000000001
SMART,FORTWO CABRIOLET,TWO-SEATER,1.0,3,AM5,Petrol,6.9,5.7,6.4,44,147,1.0,5.7,1.2000000000000002
SMART,FORTWO COUPE,TWO-SEATER,1.0,3,AM5,Petrol,6.9,5.7,6.4,44,147,1.0,5.7,1.2000000000000002
SUBARU,BRZ,MINICOMPACT,2.0,4,AS6,Petrol,9.6,7.1,8.5,33,196,1.0,7.1,2.5
SUBARU,FORESTER AWD,SUV - SMALL,2.0,4,AV,Petrol,10.2,8.6,9.5,30,218,1.0,8.6,1.5999999999999996
SUBARU,FORESTER AWD,SUV - SMALL,2.5,4,AV,Petrol,9.6,7.4,8.6,33,198,1.0,7.4,2.1999999999999993
SUBARU,IMPREZA AWD,COMPACT,2.0,4,AV,Petrol,8.7,6.6,7.8,36,179,1.0,6.6,2.0999999999999996
SUBARU,IMPREZA WAGON AWD,STATION WAGON - SMALL,2.0,4,AV,Petrol,8.7,6.6,7.8,36,179,1.0,6.6,2.0999999999999996
SUBARU,LEGACY AWD,MID-SIZE,2.5,4,AV,Petrol,9.7,7.3,8.6,33,198,1.0,7.3,2.3999999999999995
SUBARU,LEGACY AWD,MID-SIZE,3.6,6,AS5,Petrol,13.3,9.5,11.6,24,267,1.0,9.5,3.8000000000000007
SUBARU,OUTBACK AWD,SUV - SMALL,2.5,4,AV,Petrol,9.9,7.8,9.0,31,207,1.0,7.8,2.1000000000000005
SUBARU,OUTBACK AWD,SUV - SMALL,3.6,6,AS5,Petrol,13.4,9.7,11.7,24,269,1.0,9.7,3.700000000000001
SUBARU,TRIBECA AWD,SUV - SMALL,3.6,6,AS5,Petrol,14.7,11.1,13.1,22,301,1.0,11.1,3.5999999999999996
SUBARU,XV CROSSTREK AWD,SUV - SMALL,2.0,4,AV,Petrol,9.5,7.2,8.5,33,196,1.0,7.2,2.3
SUBARU,XV CROSSTREK HYBRID AWD,SUV - SMALL,2.0,4,AV,Petrol,8.1,7.2,7.7,37,177,1.0,7.2,0.8999999999999995
TOYOTA,4RUNNER (Part-Time 4WD),SUV - STANDARD,4.0,6,AS5,Petrol,14.3,11.1,12.9,22,297,1.0,11.1,3.200000000000001
TOYOTA,4RUNNER 4WD,SUV - STANDARD,4.0,6,AS5,Petrol,14.3,11.1,12.9,22,297,1.0,11.1,3.200000000000001
TOYOTA,AVALON,MID-SIZE,3.5,6,AS6,Petrol,11.3,7.6,9.6,29,221,1.0,7.6,3.700000000000001
TOYOTA,CAMRY,MID-SIZE,2.5,4,AS6,Petrol,9.5,6.6,8.2,34,189,1.0,6.6,2.9000000000000004
TOYOTA,CAMRY,MID-SIZE,3.5,6,AS6,Petrol,11.1,7.8,9.6,29,221,1.0,7.8,3.3
TOYOTA,CAMRY HYBRID LE,MID-SIZE,2.5,4,AV,Petrol,5.5,5.9,5.7,50,131,1.0,5.9,-0.40000000000000036
TOYOTA,CAMRY HYBRID XLE/SE,MID-SIZE,2.5,4,AV,Petrol,5.8,6.2,6.0,47,138,1.0,6.2,-0.40000000000000036
TOYOTA,COROLLA,MID-SIZE,1.8,4,A4,Petrol,8.6,6.5,7.7,37,177,1.0,6.5,2.0999999999999996
TOYOTA,COROLLA,MID-SIZE,1.8,4,AV,Petrol,8.0,5.9,7.1,40,163,1.0,5.9,2.0999999999999996
TOYOTA,COROLLA LE ECO (1-mode),MID-SIZE,1.8,4,AV,Petrol,7.7,5.6,6.8,42,156,1.0,5.6,2.1000000000000005
TOYOTA,COROLLA LE ECO (2-mode),MID-SIZE,1.8,4,AV,Petrol,7.8,5.9,6.9,41,159,1.0,5.9,1.8999999999999995
TOYOTA,COROLLA MATRIX,STATION WAGON - SMALL,1.8,4,A4,Petrol,9.4,7.5,8.5,33,196,1.0,7.5,1.9000000000000004
TOYOTA,FJ CRUISER 4WD,SUV - SMALL,4.0,6,A5,Petrol,14.3,11.2,12.9,22,297,1.0,11.2,3.1000000000000014
TOYOTA,HIGHLANDER,SUV - SMALL,2.7,4,AS6,Petrol,11.7,8.6,10.3,27,237,1.0,8.6,3.0999999999999996
TOYOTA,HIGHLANDER,SUV - SMALL,3.5,6,AS6,Petrol,12.6,9.4,11.2,25,258,1.0,9.4,3.1999999999999993
TOYOTA,HIGHLANDER AWD,SUV - STANDARD,3.5,6,AS6,Petrol,13.0,9.7,11.5,25,264,1.0,9.7,3.3000000000000007
TOYOTA,PRIUS,MID-SIZE,1.8,4,AV,Petrol,4.7,4.9,4.8,59,110,1.0,4.9,-0.20000000000000018
TOYOTA,PRIUS c,COMPACT,1.5,4,AV,Petrol,4.6,4.9,4.7,60,108,1.0,4.9,-0.3000000000000007
TOYOTA,PRIUS v,STATION WAGON - MID-SIZE,1.8,4,AV,Petrol,5.3,5.8,5.5,51,126,1.0,5.8,-0.5
TOYOTA,RAV4,SUV - SMALL,2.5,4,AS6,Petrol,10.0,7.6,8.9,32,205,1.0,7.6,2.4000000000000004
TOYOTA,RAV4 AWD,SUV - SMALL,2.5,4,AS6,Petrol,10.4,8.1,9.4,30,216,1.0,8.1,2.3000000000000007
TOYOTA,RAV4 LIMITED AWD,SUV - SMALL,2.5,4,AS6,Petrol,10.6,8.2,9.5,30,218,1.0,8.2,2.4000000000000004
TOYOTA,SEQUOIA 4WD,SUV - STANDARD,5.7,8,AS6,Petrol,19.0,13.9,16.7,17,384,1.0,13.9,5.1
TOYOTA,SIENNA,MINIVAN,3.5,6,AS6,Petrol,12.9,9.4,11.3,25,260,1.0,9.4,3.5
TOYOTA,SIENNA AWD,MINIVAN,3.5,6,AS6,Petrol,14.2,10.3,12.4,23,285,1.0,10.3,3.8999999999999986
TOYOTA,TACOMA,PICKUP TRUCK - SMALL,2.7,4,A4,Petrol,12.2,9.3,10.9,26,251,1.0,9.3,2.8999999999999986
TOYOTA,TACOMA 4WD,PICKUP TRUCK - SMALL,2.7,4,A4,Petrol,13.1,10.5,11.9,24,274,1.0,10.5,2.5999999999999996
TOYOTA,TACOMA 4WD,PICKUP TRUCK - SMALL,4.0,6,A5,Petrol,14.7,11.5,13.3,21,306,1.0,11.5,3.1999999999999993
TOYOTA,TUNDRA,PICKUP TRUCK - STANDARD,4.0,6,AS5,Petrol,14.8,11.8,13.5,21,310,1.0,11.8,3.0
TOYOTA,TUNDRA,PICKUP TRUCK - STANDARD,4.6,8,AS6,Petrol,15.9,12.3,14.3,20,329,1.0,12.3,3.5999999999999996
TOYOTA,TUNDRA,PICKUP TRUCK - STANDARD,5.7,8,AS6,Petrol,17.6,12.9,15.5,18,356,1.0,12.9,4.700000000000001
TOYOTA,TUNDRA 4WD,PICKUP TRUCK - STANDARD,4.6,8,AS6,Petrol,16.9,12.8,15.1,19,347,1.0,12.8,4.099999999999998
TOYOTA,TUNDRA 4WD,PICKUP TRUCK - STANDARD,5.7,8,AS6,Petrol,18.1,13.9,16.2,17,373,1.0,13.9,4.200000000000001
TOYOTA,VENZA,SUV - SMALL,2.7,4,AS6,Petrol,11.4,8.2,10.0,28,230,1.0,8.2,3.200000000000001
TOYOTA,VENZA,SUV - SMALL,3.5,6,AS6,Petrol,12.6,9.1,11.0,26,253,1.0,9.1,3.5
TOYOTA,VENZA 4WD,SUV - SMALL,2.7,4,AS6,Petrol,11.6,8.5,10.2,28,235,1.0,8.5,3.0999999999999996
TOYOTA,VENZA 4WD,SUV - SMALL,3.5,6,AS6,Petrol,12.9,9.4,11.3,25,260,1.0,9.4,3.5
TOYOTA,YARIS,COMPACT,1.5,4,A4,Petrol,7.9,6.6,7.3,39,168,1.0,6.6,1.3000000000000007
VOLKSWAGEN,BEETLE,COMPACT,1.8,4,A6,Petrol,9.5,7.2,8.5,33,196,1.0,7.2,2.3
VOLKSWAGEN,BEETLE,COMPACT,2.0,4,A6,Petrol,10.3,7.7,9.1,31,209,1.0,7.7,2.6000000000000005
VOLKSWAGEN,BEETLE,COMPACT,2.5,5,A6,Petrol,10.9,8.4,9.8,29,225,1.0,8.4,2.5
VOLKSWAGEN,BEETLE TDI (modified),COMPACT,2.0,4,A6,Diesel,8.4,5.9,7.4,38,200,0.9,5.9,2.5
VOLKSWAGEN,BEETLE CONVERTIBLE,SUBCOMPACT,1.8,4,A6,Petrol,9.8,7.3,8.7,32,200,1.0,7.3,2.500000000000001
VOLKSWAGEN,BEETLE CONVERTIBLE,SUBCOMPACT,2.0,4,A6,Petrol,10.3,8.1,9.3,30,214,1.0,8.1,2.200000000000001
VOLKSWAGEN,BEETLE CONVERTIBLE,SUBCOMPACT,2.5,5,A6,Petrol,11.2,8.7,10.1,28,232,1.0,8.7,2.5
VOLKSWAGEN,CC,COMPACT,2.0,4,A6,Petrol,11.1,7.9,9.7,29,223,1.0,7.9,3.1999999999999993
VOLKSWAGEN,CC 4MOTION,COMPACT,3.6,6,A6,Petrol,14.3,9.8,12.3,23,283,1.0,9.8,4.5
VOLKSWAGEN,EOS,SUBCOMPACT,2.0,4,A6,Petrol,10.9,8.0,9.6,29,221,1.0,8.0,2.9000000000000004
VOLKSWAGEN,GOLF WAGON,STATION WAGON - SMALL,2.5,5,A6,Petrol,11.0,7.7,9.5,30,218,1.0,7.7,3.3
VOLKSWAGEN,GOLF WAGON TDI (modified),STATION WAGON - SMALL,2.0,4,A6,Diesel,8.1,6.4,7.4,38,198,0.9,6.4,1.6999999999999993
VOLKSWAGEN,JETTA,COMPACT,1.8,4,A6,Petrol,9.5,6.7,8.2,34,189,1.0,6.7,2.8
VOLKSWAGEN,JETTA,COMPACT,2.0,4,A6,Petrol,10.6,8.0,9.4,30,216,1.0,8.0,2.5999999999999996
VOLKSWAGEN,JETTA TDI (modified),COMPACT,2.0,4,A6,Diesel,8.1,6.4,7.4,38,198,0.9,6.4,1.6999999999999993
VOLKSWAGEN,JETTA GLI,COMPACT,2.0,4,A6,Petrol,10.2,7.5,9.0,31,207,1.0,7.5,2.6999999999999993
VOLKSWAGEN,PASSAT,MID-SIZE,1.8,4,A6,Petrol,9.9,6.9,8.6,33,198,1.0,6.9,3.0
VOLKSWAGEN,PASSAT,MID-SIZE,2.5,5,A6,Petrol,11.0,8.0,9.7,29,223,1.0,8.0,3.0
VOLKSWAGEN,PASSAT,MID-SIZE,3.6,6,A6,Petrol,12.4,8.8,10.8,26,248,1.0,8.8,3.5999999999999996
VOLKSWAGEN,PASSAT TDI (modified),MID-SIZE,2.0,4,A6,Diesel,7.8,5.9,6.9,41,180,0.9,5.9,1.8999999999999995
VOLKSWAGEN,ROUTAN,MINIVAN,3.6,6,A6,Petrol,14.2,9.5,12.1,23,278,1.0,9.5,4.699999999999999
VOLKSWAGEN,TIGUAN,SUV - SMALL,2.0,4,A6,Petrol,11.7,9.5,10.7,26,246,1.0,9.5,2.1999999999999993
VOLKSWAGEN,TIGUAN 4MOTION,SUV - SMALL,2.0,4,A6,Petrol,11.7,9.4,10.7,26,246,1.0,9.4,2.299999999999999
VOLKSWAGEN,TOUAREG,SUV - STANDARD,3.6,6,AS8,Petrol,14.4,10.4,12.6,22,296,1.0,10.4,4.0
VOLKSWAGEN,TOUAREG TDI (modified),SUV - STANDARD,3.0,6,AS8,Diesel,11.8,8.1,10.2,28,277,0.9,8.1,3.700000000000001
VOLVO,S60,COMPACT,2.5,5,AS6,Petrol,11.3,7.8,9.7,29,223,1.0,7.8,3.500000000000001
VOLVO,S60 AWD,COMPACT,2.5,5,AS6,Petrol,11.6,8.3,10.1,28,232,1.0,8.3,3.299999999999999
VOLVO,S60 AWD,COMPACT,3.0,6,AS6,Petrol,13.2,9.5,11.5,25,264,1.0,9.5,3.6999999999999993
VOLVO,S80,MID-SIZE,3.2,6,AS6,Petrol,11.9,8.1,10.2,28,235,1.0,8.1,3.8000000000000007
VOLVO,S80 AWD,MID-SIZE,3.0,6,AS6,Petrol,13.2,9.5,11.5,25,264,1.0,9.5,3.6999999999999993
VOLVO,XC60,SUV - SMALL,3.2,6,AS6,Petrol,13.0,8.9,11.2,25,258,1.0,8.9,4.1
VOLVO,XC60 AWD,SUV - SMALL,3.0,6,AS6,Petrol,13.4,9.8,11.8,24,271,1.0,9.8,3.5999999999999996
VOLVO,XC60 AWD,SUV - SMALL,3.2,6,AS6,Petrol,13.2,9.5,11.5,25,264,1.0,9.5,3.6999999999999993
VOLVO,XC70 AWD,SUV - SMALL,3.0,6,AS6,Petrol,13.4,9.8,11.8,24,271,1.0,9.8,3.5999999999999996
VOLVO,XC70 AWD,SUV - SMALL,3.2,6,AS6,Petrol,12.9,9.3,11.3,25,260,1.0,9.3,3.5999999999999996
VOLVO,XC90 AWD,SUV - STANDARD,3.2,6,AS6,Petrol,14.9,10.2,12.8,22,294,1.0,10.2,4.700000000000001
ACURA,ILX,COMPACT,2.0,4,AS5,Petrol,9.7,6.7,8.3,34,191,1.0,6.7,2.999999999999999
ACURA,MDX SH-AWD,SUV - SMALL,3.5,6,AS6,Petrol,12.7,9.1,11.1,25,255,1.0,9.1,3.5999999999999996
ACURA,RDX AWD,SUV - SMALL,3.5,6,AS6,Petrol,12.1,8.7,10.6,27,244,1.0,8.7,3.4000000000000004
ACURA,RLX,MID-SIZE,3.5,6,AS6,Petrol,11.9,7.7,10.0,28,230,1.0,7.7,4.2
ACURA,TLX,COMPACT,3.5,6,AS9,Petrol,11.2,6.9,9.2,31,212,1.0,6.9,4.299999999999999
ACURA,TLX SH-AWD,COMPACT,3.5,6,AS9,Petrol,11.2,7.5,9.6,29,221,1.0,7.5,3.6999999999999993
ALFA ROMEO,4C,TWO-SEATER,1.8,4,AM6,Petrol,9.7,6.9,8.4,34,193,1.0,6.9,2.799999999999999
ASTON MARTIN,DB9,MINICOMPACT,5.9,12,A6,Petrol,18.0,12.6,15.6,18,359,1.0,12.6,5.4
ASTON MARTIN,RAPIDE S,SUBCOMPACT,6.0,12,A8,Petrol,16.8,10.9,14.2,20,327,1.0,10.9,5.9
ASTON MARTIN,VANQUISH,MINICOMPACT,6.0,12,A8,Petrol,17.6,11.4,14.8,19,340,1.0,11.4,6.200000000000001
AUDI,A3,SUBCOMPACT,1.8,4,AM6,Petrol,10.0,7.1,8.7,32,200,1.0,7.1,2.9000000000000004
AUDI,A3 TDI (modified),SUBCOMPACT,2.0,4,AM6,Diesel,7.6,5.5,6.5,43,177,0.9,5.5,2.0999999999999996
AUDI,A3 QUATTRO,SUBCOMPACT,2.0,4,AM6,Petrol,9.8,7.2,8.6,33,198,1.0,7.2,2.6000000000000005
AUDI,A3 CABRIOLET QUATTRO,SUBCOMPACT,2.0,4,AM6,Petrol,10.1,7.5,8.9,32,205,1.0,7.5,2.5999999999999996
AUDI,A4 QUATTRO,COMPACT,2.0,4,AS8,Petrol,11.0,7.8,9.6,29,221,1.0,7.8,3.2
AUDI,A4 ALLROAD QUATTRO,STATION WAGON - SMALL,2.0,4,AS8,Petrol,11.2,8.4,9.9,28,228,1.0,8.4,2.799999999999999
AUDI,A5 QUATTRO,SUBCOMPACT,2.0,4,AS8,Petrol,11.0,7.8,9.6,29,221,1.0,7.8,3.2
AUDI,A5 CABRIOLET QUATTRO,SUBCOMPACT,2.0,4,AS8,Petrol,11.3,8.0,9.8,29,225,1.0,8.0,3.3000000000000007
AUDI,A6 QUATTRO,MID-SIZE,2.0,4,AS8,Petrol,12.0,8.1,10.3,27,237,1.0,8.1,3.9000000000000004
AUDI,A6 QUATTRO,MID-SIZE,3.0,6,AS8,Petrol,12.8,8.6,10.9,26,251,1.0,8.6,4.200000000000001
AUDI,A6 QUATTRO TDI (modified),MID-SIZE,3.0,6,AS8,Diesel,9.8,6.2,8.1,35,217,0.9,6.2,3.6000000000000005
AUDI,A7 QUATTRO,MID-SIZE,3.0,6,AS8,Petrol,13.1,8.5,11.0,26,253,1.0,8.5,4.6
AUDI,A7 QUATTRO TDI (modified),MID-SIZE,3.0,6,AS8,Diesel,9.8,6.2,8.1,35,217,0.9,6.2,3.6000000000000005
AUDI,A8,MID-SIZE,3.0,6,AS8,Petrol,12.6,8.0,10.5,27,242,1.0,8.0,4.6
AUDI,A8,MID-SIZE,4.0,8,AS8,Petrol,12.9,8.0,10.7,26,246,1.0,8.0,4.9
AUDI,A8 TDI (modified),MID-SIZE,3.0,6,AS8,Diesel,9.8,6.5,8.4,34,224,0.9,6.5,3.3000000000000007
AUDI,A8L,FULL-SIZE,3.0,6,AS8,Petrol,12.6,8.0,10.5,27,242,1.0,8.0,4.6
AUDI,A8L,FULL-SIZE,4.0,8,AS8,Petrol,13.2,8.3,11.0,26,258,1.0,8.3,4.899999999999999
AUDI,A8L,FULL-SIZE,6.3,12,AS8,Petrol,17.8,10.8,14.6,19,344,1.0,10.8,7.0
AUDI,A8L TDI (modified),FULL-SIZE,3.0,6,AS8,Diesel,9.8,6.5,8.4,34,224,0.9,6.5,3.3000000000000007
AUDI,Q3,COMPACT,2.0,4,AS6,Petrol,12.0,8.2,10.3,27,237,1.0,8.2,3.8000000000000007
AUDI,Q3 QUATTRO,COMPACT,2.0,4,AS6,Petrol,11.9,8.4,10.3,27,237,1.0,8.4,3.5
AUDI,Q5,SUV - SMALL,2.0,4,AS8,Petrol,12.0,8.5,10.4,27,239,1.0,8.5,3.5
AUDI,Q5,SUV - SMALL,3.0,6,AS8,Petrol,13.2,9.2,11.4,25,262,1.0,9.2,4.0
AUDI,Q5 TDI (modified),SUV - SMALL,3.0,6,AS8,Diesel,10.2,7.8,9.0,31,244,0.9,7.8,2.3999999999999995
AUDI,Q5 HYBRID,SUV - SMALL,2.0,4,AS8,Petrol,9.8,7.9,8.9,32,205,1.0,7.9,1.9000000000000004
AUDI,Q7,SUV - STANDARD,3.0,6,AS8,Petrol,15.2,11.0,13.3,21,306,1.0,11.0,4.199999999999999
AUDI,Q7 TDI (modified),SUV - STANDARD,3.0,6,AS8,Diesel,12.4,8.7,10.7,26,290,0.9,8.7,3.700000000000001
AUDI,RS 7,MID-SIZE,4.0,8,AS8,Petrol,16.6,9.4,13.3,21,313,1.0,9.4,7.200000000000001
AUDI,S3,SUBCOMPACT,2.0,4,AM6,Petrol,10.1,7.7,9.0,31,207,1.0,7.7,2.3999999999999995
AUDI,S8,MID-SIZE,4.0,8,AS8,Petrol,14.6,8.8,11.9,24,281,1.0,8.8,5.799999999999999
AUDI,SQ5,SUV - SMALL,3.0,6,AS8,Petrol,14.1,9.9,12.2,23,281,1.0,9.9,4.199999999999999
AUDI,TT COUPE QUATTRO,SUBCOMPACT,2.0,4,AM6,Petrol,10.4,7.6,9.1,31,209,1.0,7.6,2.8000000000000007
AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2.0,4,AM6,Petrol,10.4,7.7,9.2,31,212,1.0,7.7,2.7
AUDI,TTS COUPE QUATTRO,SUBCOMPACT,2.0,4,AM6,Petrol,11.7,8.4,10.2,28,235,1.0,8.4,3.299999999999999
AUDI,TTS ROADSTER QUATTRO,TWO-SEATER,2.0,4,AM6,Petrol,11.7,8.5,10.2,28,235,1.0,8.5,3.1999999999999993
BENTLEY,CONTINENTAL GT,COMPACT,4.0,8,AS8,Petrol,16.1,9.4,13.1,22,307,1.0,9.4,6.700000000000001
BENTLEY,CONTINENTAL GT,COMPACT,6.0,12,AS8,Petrol,18.9,11.2,15.4,18,354,1.0,11.2,7.699999999999999
BENTLEY,CONTINENTAL GT CONVERTIBLE,SUBCOMPACT,4.0,8,AS8,Petrol,17.7,10.3,14.4,20,337,1.0,10.3,7.399999999999999
BENTLEY,CONTINENTAL GT CONVERTIBLE,SUBCOMPACT,6.0,12,AS8,Petrol,19.6,11.7,16.0,18,368,1.0,11.7,7.900000000000002
BENTLEY,CONTINENTAL GT3-R,TWO-SEATER,4.0,8,AS8,Petrol,17.6,10.1,14.2,20,327,1.0,10.1,7.500000000000002
BENTLEY,FLYING SPUR,MID-SIZE,4.0,8,AS8,Petrol,17.7,10.0,14.2,20,334,1.0,10.0,7.699999999999999
BENTLEY,FLYING SPUR,MID-SIZE,6.0,12,AS8,Petrol,20.3,11.9,16.5,17,388,1.0,11.9,8.4
BMW,228i CABRIOLET,SUBCOMPACT,2.0,4,AS8,Petrol,10.4,7.1,8.9,32,205,1.0,7.1,3.3000000000000007
BMW,228i COUPE,SUBCOMPACT,2.0,4,AS8,Petrol,10.0,6.5,8.4,34,193,1.0,6.5,3.5
BMW,228i xDRIVE CABRIOLET,SUBCOMPACT,2.0,4,AS8,Petrol,10.6,7.2,9.1,31,209,1.0,7.2,3.3999999999999995
BMW,228i xDRIVE COUPE,SUBCOMPACT,2.0,4,AS8,Petrol,10.3,6.7,8.7,32,200,1.0,6.7,3.6000000000000005
BMW,320i SEDAN,COMPACT,2.0,4,AS8,Petrol,10.0,6.5,8.4,34,193,1.0,6.5,3.5
BMW,320i xDRIVE SEDAN,COMPACT,2.0,4,AS8,Petrol,10.3,6.7,8.7,32,200,1.0,6.7,3.6000000000000005
BMW,328d xDRIVE SEDAN,COMPACT,2.0,4,AS8,Diesel,7.6,5.5,6.7,42,181,0.9,5.5,2.0999999999999996
BMW,328d xDRIVE TOURING,STATION WAGON - SMALL,2.0,4,AS8,Diesel,7.6,5.5,6.7,42,181,0.9,5.5,2.0999999999999996
BMW,328i SEDAN,COMPACT,2.0,4,AS8,Petrol,10.0,6.5,8.4,34,193,1.0,6.5,3.5
BMW,328i xDRIVE SEDAN,COMPACT,2.0,4,AS8,Petrol,10.6,7.2,9.1,31,209,1.0,7.2,3.3999999999999995
BMW,328i xDRIVE GRAN TURISMO,FULL-SIZE,2.0,4,AS8,Petrol,10.6,7.2,9.1,31,209,1.0,7.2,3.3999999999999995
BMW,328i xDRIVE TOURING,STATION WAGON - SMALL,2.0,4,AS8,Petrol,10.6,7.2,9.1,31,209,1.0,7.2,3.3999999999999995
BMW,335i SEDAN,COMPACT,3.0,6,AS8,Petrol,11.4,7.4,9.6,29,221,1.0,7.4,4.0
BMW,335i xDRIVE SEDAN,COMPACT,3.0,6,AS8,Petrol,11.9,7.8,10.0,28,230,1.0,7.8,4.1000000000000005
